"Index","Name","Width","Height","Ratio"
"1","ChatGPT Image Jun 25, 2026, 11_18_40 PM (1).png","1024","1536","0.667"
"2","ChatGPT Image Jun 25, 2026, 11_18_40 PM (2).png","971","1619","0.6"
"3","ChatGPT Image Jun 25, 2026, 11_18_42 PM (3).png","1024","1536","0.667"
"4","ChatGPT Image Jun 25, 2026, 11_18_43 PM (4).png","992","1586","0.625"
"5","ChatGPT Image Jun 25, 2026, 11_18_43 PM (5).png","1024","1536","0.667"
"6","ChatGPT Image Jun 25, 2026, 11_18_44 PM (6).png","1122","1402","0.8"
"7","ChatGPT Image Jun 25, 2026, 11_18_45 PM (7).png","1086","1448","0.75"
"8","ChatGPT Image Jun 25, 2026, 11_18_45 PM (8).png","724","2172","0.333"
"9","ChatGPT Image Jun 25, 2026, 11_18_46 PM (9).png","724","2172","0.333"
"10","ChatGPT Image Jun 25, 2026, 11_18_47 PM (10).png","1254","1254","1"
"11","ChatGPT Image Jun 25, 2026, 11_24_33 PM (1).png","971","1619","0.6"
"12","ChatGPT Image Jun 25, 2026, 11_24_34 PM (2).png","1024","1536","0.667"
"13","ChatGPT Image Jun 25, 2026, 11_24_34 PM (3).png","1122","1402","0.8"
"14","ChatGPT Image Jun 25, 2026, 11_24_35 PM (4).png","1122","1402","0.8"
"15","ChatGPT Image Jun 25, 2026, 11_24_35 PM (5).png","1024","1536","0.667"
"16","ChatGPT Image Jun 25, 2026, 11_24_36 PM (6).png","627","2508","0.25"
"17","ChatGPT Image Jun 25, 2026, 11_24_36 PM (7).png","1024","1536","0.667"
"18","ChatGPT Image Jun 25, 2026, 11_24_37 PM (8).png","1254","1254","1"
"19","ChatGPT Image Jun 25, 2026, 11_24_38 PM (10).png","1060","1484","0.714"
"20","ChatGPT Image Jun 25, 2026, 11_24_38 PM (9).png","1254","1254","1"
"21","ChatGPT Image Jun 25, 2026, 11_40_48 PM (1).png","1122","1402","0.8"
"22","ChatGPT Image Jun 25, 2026, 11_40_48 PM (2).png","1122","1402","0.8"
"23","ChatGPT Image Jun 25, 2026, 11_40_51 PM (3).png","1122","1402","0.8"
"24","ChatGPT Image Jun 25, 2026, 11_40_54 PM (4).png","1254","1254","1"
"25","ChatGPT Image Jun 25, 2026, 11_40_54 PM (5).png","724","2172","0.333"
"26","ChatGPT Image Jun 25, 2026, 11_41_04 PM (6).png","1254","1254","1"
"27","ChatGPT Image Jun 25, 2026, 11_41_04 PM (7).png","1122","1402","0.8"
"28","ChatGPT Image Jun 25, 2026, 11_41_04 PM (8).png","1122","1402","0.8"
"29","ChatGPT Image Jun 25, 2026, 11_41_05 PM (10).png","1122","1402","0.8"
"30","ChatGPT Image Jun 25, 2026, 11_41_05 PM (9).png","1122","1402","0.8"
"31","ChatGPT Image Jun 25, 2026, 11_48_21 PM (1).png","1122","1402","0.8"
"32","ChatGPT Image Jun 25, 2026, 11_48_22 PM (2).png","1122","1402","0.8"
"33","ChatGPT Image Jun 25, 2026, 11_48_22 PM (3).png","1122","1402","0.8"
"34","ChatGPT Image Jun 25, 2026, 11_48_23 PM (4).png","1254","1254","1"
"35","ChatGPT Image Jun 25, 2026, 11_48_23 PM (5).png","724","2172","0.333"
"36","ChatGPT Image Jun 25, 2026, 11_48_23 PM (6).png","1122","1402","0.8"
"37","ChatGPT Image Jun 25, 2026, 11_48_24 PM (7).png","1122","1402","0.8"
"38","ChatGPT Image Jun 25, 2026, 11_48_25 PM (8).png","1254","1254","1"
"39","ChatGPT Image Jun 25, 2026, 11_48_25 PM (9).png","1122","1402","0.8"
"40","ChatGPT Image Jun 25, 2026, 11_48_26 PM (10).png","1122","1402","0.8"
"41","ChatGPT Image Jun 25, 2026, 11_52_13 PM (1).png","1086","1448","0.75"
"42","ChatGPT Image Jun 25, 2026, 11_52_14 PM (2).png","1086","1448","0.75"
"43","ChatGPT Image Jun 25, 2026, 11_52_14 PM (3).png","1086","1448","0.75"
"44","ChatGPT Image Jun 25, 2026, 11_52_15 PM (4).png","1254","1254","1"
"45","ChatGPT Image Jun 25, 2026, 11_52_15 PM (5).png","724","2172","0.333"
"46","ChatGPT Image Jun 25, 2026, 11_52_16 PM (6).png","1254","1254","1"
"47","ChatGPT Image Jun 25, 2026, 11_52_17 PM (7).png","1086","1448","0.75"
"48","ChatGPT Image Jun 25, 2026, 11_52_17 PM (8).png","1086","1448","0.75"
"49","ChatGPT Image Jun 25, 2026, 11_52_18 PM (10).png","1086","1448","0.75"
"50","ChatGPT Image Jun 25, 2026, 11_52_18 PM (9).png","1086","1448","0.75"
"51","ChatGPT Image Jun 26, 2026, 12_00_13 AM (1).png","1024","1536","0.667"
"52","ChatGPT Image Jun 26, 2026, 12_00_14 AM (2).png","1122","1402","0.8"
"53","ChatGPT Image Jun 26, 2026, 12_00_14 AM (3).png","992","1586","0.625"
"54","ChatGPT Image Jun 26, 2026, 12_00_14 AM (4).png","1122","1402","0.8"
"55","ChatGPT Image Jun 26, 2026, 12_00_15 AM (5).png","724","2172","0.333"
"56","ChatGPT Image Jun 26, 2026, 12_00_15 AM (6).png","1254","1254","1"
"57","ChatGPT Image Jun 26, 2026, 12_00_15 AM (7).png","1024","1536","0.667"
"58","ChatGPT Image Jun 26, 2026, 12_00_16 AM (10).png","1024","1536","0.667"
"59","ChatGPT Image Jun 26, 2026, 12_00_16 AM (8).png","1060","1484","0.714"
"60","ChatGPT Image Jun 26, 2026, 12_00_16 AM (9).png","1024","1536","0.667"
